Sample,Time,Read,Write,Overall,Read Min,Write Min,Overall Min,Read Max,Write Max,Overall Max,Read Average,Write Average,Overall Average,Read Average per Channel,Write Average per Channel,Overall Average per Channel,Latest Temperature,Average Temperature,MC0.AM.WR_CMD_PS0,MC0.AM.WR_CMD_PS1,MC0.AM.WR_AP_CMD_PS0,MC0.AM.WR_AP_CMD_PS1,MC0.AM.RD_CMD_PS0,MC0.AM.RD_CMD_PS1,MC0.AM.RD_AP_CMD_PS0,MC0.AM.RD_AP_CMD_PS1,MC0.AM.REFRESH_CMD_PS0,MC0.AM.REFRESH_CMD_PS1,MC0.AM.ACT_CMD_PS0,MC0.AM.ACT_CMD_PS1,MC0.AM.PRECHARGE_CMD_PS0,MC0.AM.PRECHARGE_CMD_PS1,MC0.AM.PRECHARGE_ALL_CMD_PS0,MC0.AM.PRECHARGE_ALL_CMD_PS1,MC0.AM.RD_TO_WR_SWITCH_PS0,MC0.AM.RD_TO_WR_SWITCH_PS1,MC0.AM.RMW_CYCLE_PS0,MC0.AM.RMW_CYCLE_PS1,
75,20:15:15,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
76,20:15:16,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA542,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
77,20:15:17,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0F,00000000,00000000,00000000,02AEA541,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CD,00000000,00000000,00000000,0001F4CE,00000000,005EE0DC,00000000,00000000,00000000,
78,20:15:18,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0F,00000000,00000000,00000000,02AEA53B,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CD,00000000,00000000,00000000,0001F4CE,00000000,005EE0DB,00000000,00000000,00000000,
79,20:15:19,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA542,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
80,20:15:20,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0E,00000000,00000000,00000000,02AEA539,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CE,00000000,00000000,00000000,0001F4CD,00000000,005EE0DA,00000000,00000000,00000000,
81,20:15:21,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0E,00000000,00000000,00000000,02AEA531,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CD,00000000,00000000,00000000,0001F4CE,00000000,005EE0DB,00000000,00000000,00000000,
82,20:15:22,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E12,00000000,00000000,00000000,02AEA53B,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
83,20:15:23,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
84,20:15:24,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA542,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
85,20:15:25,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0C,00000000,00000000,00000000,02AEA52B,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CE,00000000,00000000,00000000,0001F4CE,00000000,005EE0D9,00000000,00000000,00000000,
86,20:15:26,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA53F,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
87,20:15:27,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0D,00000000,00000000,00000000,02AEA524,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CE,00000000,00000000,00000000,0001F4CE,00000000,005EE0DA,00000000,00000000,00000000,
88,20:15:28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA53C,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
89,20:15:29,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA540,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
90,20:15:30,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA541,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
91,20:15:31,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA540,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
92,20:15:32,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA53C,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
93,20:15:33,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0C,00000000,00000000,00000000,02AEA52D,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CE,00000000,00000000,00000000,0001F4CE,00000000,005EE0D8,00000000,00000000,00000000,
94,20:15:34,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA544,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
95,20:15:35,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA544,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
96,20:15:36,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA542,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
97,20:15:37,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
98,20:15:38,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0F,00000000,00000000,00000000,02AEA543,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CD,00000000,00000000,00000000,0001F4CE,00000000,005EE0DB,00000000,00000000,00000000,
99,20:15:39,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA546,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
100,20:15:40,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0F,00000000,00000000,00000000,02AEA53B,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CD,00000000,00000000,00000000,0001F4CE,00000000,005EE0DC,00000000,00000000,00000000,
101,20:15:41,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
102,20:15:42,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA549,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
103,20:15:43,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA53E,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
104,20:15:44,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E12,00000000,00000000,00000000,02AEA53F,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
105,20:15:45,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0E,00000000,00000000,00000000,02AEA537,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CE,00000000,00000000,00000000,0001F4CD,00000000,005EE0DB,00000000,00000000,00000000,
106,20:15:46,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA544,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
107,20:15:47,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0F,00000000,00000000,00000000,02AEA53F,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CE,00000000,00000000,00000000,0001F4CD,00000000,005EE0DB,00000000,00000000,00000000,
108,20:15:48,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
109,20:15:49,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA546,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
110,20:15:50,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E12,00000000,00000000,00000000,02AEA542,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
111,20:15:51,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA541,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CD,00000000,00000000,00000000,0001F4CE,00000000,005EE0DD,00000000,00000000,00000000,
112,20:15:52,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA541,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
113,20:15:53,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA53F,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
114,20:15:54,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA547,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
115,20:15:55,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0D,00000000,00000000,00000000,02AEA531,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CE,00000000,00000000,00000000,0001F4CD,00000000,005EE0DA,00000000,00000000,00000000,
116,20:15:56,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0D,00000000,00000000,00000000,02AEA52A,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CE,00000000,00000000,00000000,0001F4CE,00000000,005EE0D9,00000000,00000000,00000000,
117,20:15:57,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA541,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
118,20:15:58,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
119,20:15:59,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0D,00000000,00000000,00000000,02AEA524,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CE,00000000,00000000,00000000,0001F4CE,00000000,005EE0DA,00000000,00000000,00000000,
120,20:16:00,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E12,00000000,00000000,00000000,02AEA534,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DF,00000000,00000000,00000000,
121,20:16:01,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA54A,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
122,20:16:02,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA539,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
123,20:16:03,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
124,20:16:04,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA54A,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
125,20:16:05,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA543,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
126,20:16:06,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA53E,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
127,20:16:07,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA540,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
128,20:16:08,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0D,00000000,00000000,00000000,02AEA531,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CE,00000000,00000000,00000000,0001F4CD,00000000,005EE0DA,00000000,00000000,00000000,
129,20:16:09,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA543,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
130,20:16:10,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA548,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
131,20:16:11,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA546,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
132,20:16:12,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA53B,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
133,20:16:13,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA540,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
134,20:16:14,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,47,48.0,005F5E0D,00000000,00000000,00000000,02AEA531,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CD,00000000,00000000,00000000,0001F4CE,00000000,005EE0DA,00000000,00000000,00000000,
135,20:16:15,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA53E,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
136,20:16:16,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA541,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
137,20:16:17,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA544,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
138,20:16:18,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA53C,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
139,20:16:19,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
140,20:16:20,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA548,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
141,20:16:21,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA544,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
142,20:16:22,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA545,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
143,20:16:23,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA542,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
144,20:16:24,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0D,00000000,00000000,00000000,02AEA526,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CE,00000000,00000000,00000000,0001F4CE,00000000,005EE0DA,00000000,00000000,00000000,
145,20:16:25,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA547,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
146,20:16:26,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0C,00000000,00000000,00000000,02AEA52F,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CE,00000000,00000000,00000000,0001F4CE,00000000,005EE0D8,00000000,00000000,00000000,
147,20:16:27,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA53D,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DE,00000000,00000000,00000000,
148,20:16:28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E10,00000000,00000000,00000000,02AEA53F,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
149,20:16:29,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0F,00000000,00000000,00000000,02AEA541,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CE,00000000,00000000,00000000,0001F4CD,00000000,005EE0DC,00000000,00000000,00000000,
150,20:16:30,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E11,00000000,00000000,00000000,02AEA548,00000000,00000000,00000000,0001F4CD,0001F4CD,0001F4CD,00000000,00000000,00000000,0001F4CD,00000000,005EE0DD,00000000,00000000,00000000,
151,20:16:31,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,2.88,0.40,3.28,48,48.0,005F5E0C,00000000,00000000,00000000,02AEA52D,00000000,00000000,00000000,0001F4CE,0001F4CE,0001F4CE,00000000,00000000,00000000,0001F4CE,00000000,005EE0D8,00000000,00000000,00000000,
